ts_code,name,area,fullname,enname,cnspell,market,list_date
000629.SZ,攀钢钒钛,四川,攀钢集团钒钛资源股份有限公司,"Pangang Group Vanadium & Titanium Resources Co., Ltd.",pgft,主板,19961115
000630.SZ,铜陵有色,安徽,铜陵有色金属集团股份有限公司,"Tongling Nonferrous Metals Group Co.,Ltd",tlys,主板,19961120
000631.SZ,顺发恒业,吉林,顺发恒业股份公司,Shunfa Hengye Corporation.,sfhy,主板,19961122
000632.SZ,三木集团,福建,福建三木集团股份有限公司,"Fujian Sanmu Group Co.,Ltd.",smjt,主板,19961121
000633.SZ,合金投资,新疆,新疆合金投资股份有限公司,"Xinjiang Hejin Holding Co.,Ltd",hjtz,主板,19961112
000635.SZ,英力特,宁夏,宁夏英力特化工股份有限公司,"Ningxia Younglight Chemicals Co.,Ltd",ylt,主板,19961120
000636.SZ,风华高科,广东,广东风华高新科技股份有限公司,"Guangdong Fenghua Advanced Technology(Holding) Co.,Ltd",fhgk,主板,19961129
000637.SZ,茂化实华,广东,茂名石化实华股份有限公司,"Maoming Petro-Chemical Shihua Co., Ltd.",mhsh,主板,19961114
000638.SZ,*ST万方,吉林,万方城镇投资发展股份有限公司,"Vanfund Urban Investment&Development Co.,Ltd.",stwf,主板,19961126
000639.SZ,西王食品,山东,西王食品股份有限公司,"Xiwang Foodstuffs Co., Ltd.",xwsp,主板,19961126
000650.SZ,仁和药业,江西,仁和药业股份有限公司,"Renhe Pharmacy Co.,Ltd",rhyy,主板,19961210
000651.SZ,格力电器,广东,珠海格力电器股份有限公司,"Gree Electric Appliances,Inc. of Zhuhai",gldq,主板,19961118
000652.SZ,泰达股份,天津,天津泰达股份有限公司,"Tianjin TEDA Co., Ltd.",tdgf,主板,19961128
000655.SZ,金岭矿业,山东,山东金岭矿业股份有限公司,"Shandong Jinling Mining Co., Ltd.",jlky,主板,19961128
000656.SZ,金科股份,重庆,金科地产集团股份有限公司,"Jinke Property Group Co.,Ltd.",jkgf,主板,19961128
000657.SZ,中钨高新,海南,中钨高新材料股份有限公司,"China Tungsten and Hightech Materials Co.,Ltd.",zwgx,主板,19961205
